city,area,family_size,male,female,age_lt15,age_15btw25,age_25btw45,age_gt45,no_of_children,occupation,education,no_of_working_members,child_working_below_15,type_of_ration_card,health_card,no_of_deceased_people,no_of_handicapped_people,car,bike,tractor,house,land,gold,monthly_income,government_income,pension_income,private_income,caste,nearest_hospital,nearest_primary_school,nearest_high_school,nearest_college,nearest_university,postal_savings,bank_savings,chit_savings,other_savings,agricultural_status,type_of_building,type_of_water_source,source_of_drinking_water,presence_of_toilet_facility,electricity_connection,television,refrigerator,air_conditioner,heater,fan,computer,electricity_bill,gas_connection,no_of_lic_policies,income_status,cable_connection,internet_connection,poverty_status,latitude,longitude
Rajahmundry,Rural,3,1,2,1,0,2,0,1,Farmer,Graduation,1,0,White,Yes,0,0,0,1,0,1,0,13,10000,0,0,10000,OC,3,1,1,5,15,0,55000,0,0,Remains Same,Single Floor,Tap,Outside,Inside,Yes,0,0,0,0,2,0,90,Yes,0,Increase,Yes,No,Poor,17.011136,81.775381
Rajahmundry,Rural,3,2,1,1,0,2,0,1,Farmer,SSC,1,0,White,Yes,0,0,0,1,0,1,1,35,18000,0,0,18000,BC,3,6,7,12,11,0,100000,0,0,Remains Same,Single Floor,Bore,Inside,Inside,Yes,1,1,0,0,3,1,200,Yes,2,Increase,Yes,Yes,Middle,17.068651,81.811726
Rajahmundry,Rural,4,2,2,0,2,1,1,1,Carpenter,Intermediate,1,0,White,Yes,1,0,0,1,0,1,1,60,24000,0,0,24000,BC,4,2,6,5,14,5000,100000,0,0,Increase,Single Floor,Bore,Inside,Inside,Yes,1,1,0,0,3,1,150,Yes,0,Remains Same,Yes,Yes,Middle,17.068651,81.811726
Rajahmundry,Rural,3,2,1,1,2,0,0,0,Farmer,6th Standard,1,0,White,Yes,0,0,0,1,0,1,0,30,18000,0,0,18000,BC,5,3,6,5,13,0,80000,0,0,Remains Same,Single Floor,Tap,Outside,Inside,Yes,1,1,0,0,2,0,100,Yes,0,Remains Same,Yes,Yes,Middle,17.054756,81.788104
Rajahmundry,Urban,6,4,2,1,2,2,1,3,Driver,SSC,2,0,White,Yes,0,1,0,1,0,1,0,80,24000,0,6000,18000,OC,2,1,1,4,15,0,90000,0,0,Increase,Single Floor,Tap,Outside,Inside,Yes,1,0,0,0,3,0,120,Yes,1,Remains Same,Yes,Yes,Middle,16.983369,81.822002
Rajahmundry,Rural,5,3,2,1,2,2,0,2,Farmer,7th Standard,1,0,No,Yes,0,0,0,0,0,1,1,45,14000,0,0,14000,SC,3,2,3,8,11,0,45000,0,0,Remains Same,Shed,Tap,Outside,Outside,Yes,0,0,0,0,1,0,40,No,0,Remains Same,No,Yes,Middle,17.10556,81.796496
Rajahmundry,Urban,4,1,3,1,1,2,0,2,Business,Intermediate,1,0,White,Yes,0,0,1,1,0,1,1,80,30000,0,0,30000,OC,4,2,2,6,15,0,120000,0,0,Increase,Second Floor,Bore,Inside,Inside,Yes,1,1,1,0,2,1,250,Yes,2,Increase,Yes,Yes,Middle,16.983165,81.822738
Rajahmundry,Rural,5,2,3,1,2,2,0,3,Business,SSC,1,0,White,Yes,0,0,0,1,0,1,0,80,20000,0,0,20000,SC,3,4,5,10,10,0,100000,0,0,Decrease,Shed,Tap,Outside,Inside,Yes,0,0,0,0,2,0,50,Yes,1,Decrease,No,Yes,Poor,17.089562,81.839197
Rajahmundry,Rural,4,2,2,2,0,2,0,2,Farmer,Intermediate,1,0,White,No,0,0,0,1,1,1,0,35,12000,0,0,12000,BC,4,2,4,7,11,0,60000,0,0,Remains Same,Single Floor,Tap,Outside,Outside,Yes,0,0,0,0,2,0,100,Yes,0,Remains Same,No,No,Poor,17.116479,81.871674
Rajahmundry,Rural,3,1,2,1,0,2,0,1,Leather Work,SSC,1,0,White,Yes,0,0,0,1,0,1,1,30,10000,0,0,10000,OC,5,4,5,8,10,0,75000,0,0,Remains Same,Single Floor,Tap,Outside,Inside,Yes,0,0,0,0,1,1,50,Yes,0,Remains Same,No,Yes,Poor,17.091285,81.839197
Rajahmundry,Rural,6,2,4,2,1,2,1,3,Farmer,SSC,2,0,White,Yes,1,0,0,1,0,1,2,60,36000,0,12000,24000,SC,6,2,5,10,15,0,85000,0,0,Increase,Second Floor,Tap,Inside,Inside,Yes,1,1,0,1,3,1,300,Yes,2,Increase,Yes,Yes,Middle,17.081551,81.893632
Rajahmundry,Rural,4,2,2,1,1,2,0,2,Leather Work,SSC,1,0,White,Yes,0,0,0,1,0,0,0,20,8000,0,0,8000,OC,6,2,3,8,11,0,20000,0,0,Decrease,Single Floor,Tap,Outside,Inside,Yes,0,0,0,0,2,0,60,Yes,0,Remains Same,No,Yes,Poor,17.066329,81.896912
Rajahmundry,Rural,4,3,1,1,1,2,0,2,Teacher,6th Standard,1,0,White,Yes,0,0,0,1,0,0,0,30,9000,0,0,9000,OC,5,2,2,8,11,0,0,0,0,Decrease,Single Floor,Tap,Outside,Inside,Yes,0,0,0,0,2,0,50,Yes,0,Remains Same,No,No,Poor,17.069337,81.925754
Rajahmundry,Rural,3,2,1,1,0,2,0,1,Fishing,8th Standard,1,0,White,No,0,0,0,1,0,1,1,35,18000,0,0,18000,BC,3,8,4,12,15,0,20000,0,0,Remains Same,Single Floor,Bore,Inside,Inside,Yes,1,1,0,0,3,1,200,Yes,2,Increase,Yes,Yes,Middle,17.074656,81.881433
Rajahmundry,Rural,4,2,2,0,2,1,1,1,Farmer,SSC,1,0,White,Yes,1,0,0,1,0,1,1,60,24000,0,0,24000,BC,4,2,6,10,10,0,60000,0,0,Increase,Single Floor,Bore,Inside,Inside,Yes,1,1,0,0,3,1,150,Yes,0,Remains Same,Yes,Yes,Middle,17.066517,81.931129
Rajahmundry,Rural,6,4,2,1,2,2,1,3,Business,SSC,2,0,White,Yes,0,1,0,1,0,1,0,80,26000,0,8000,18000,OC,2,4,5,4,15,30000,20000,0,0,Increase,Single Floor,Tap,Outside,Inside,Yes,1,0,0,0,3,0,120,Yes,1,Remains Same,Yes,Yes,Middle,17.056616,81.924377
Rajahmundry,Rural,5,2,3,1,2,2,0,2,Farmer,Intermediate,1,0,No,No,0,0,0,0,0,1,1,35,14000,0,0,14000,SC,3,2,3,8,10,0,0,0,0,Remains Same,Shed,Tap,Outside,Outside,Yes,0,0,0,0,1,0,40,Yes,0,Remains Same,No,Yes,Middle,17.049131,81.936902
Rajahmundry,Rural,4,1,3,1,1,2,0,2,Business,Graduation,1,0,White,Yes,0,0,1,1,0,1,1,80,30000,0,0,30000,OC,7,2,2,6,15,0,110000,0,0,Increase,Second Floor,Bore,Inside,Inside,Yes,1,1,1,0,2,1,230,Yes,2,Increase,Yes,Yes,Middle,17.049722,81.919199
