gid,code,ward,name,feature,fature_det,speciality,theme,type,address,phone,photo,the_geom
1,00-00-03-47,12,BSNL QUARTERS,QUARTERS,,QUARTERS,,GOVERNMENT,"TADITHOTA, RAJAHMUNDRY.",,,0104000020E610000001000000010100000072401A87EC5D6141F029DE53E34F3D41
2,00-00-02-05,20,SRI SHYAMALAMBA AMMAVARI ALAYAM,TEMPLE,,AMMAVARI ALAYAM,RELIGIOUS,PRIVATE,"TOLGATE, T NAGAR, RAJAHMUNDRY.",,,0104000020E610000001000000010100000071D3963EE05C614104F2CD24954B3D41
3,00-00-02-05,46,SRI RAMA MANDIRAM,TEMPLE,,TEMPLE,RELIGIOUS,PRIVATE,"VENKATAPURAM, RAJAHMUNDRY.",,,0104000020E610000001000000010100000058BE55C49C5D614133B99C4FFF5F3D41
4,00-00-03-51,19,SRI HARSHA VARDHAN SMART SCHOOL,SCHOOL,,E M HIGH SCHOOL,EDUCATION,PRIVATE,"ALCOT GARDENS, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000CE71AF81425D6141C2B75113A2483D41
5,00-00-03-57,47,ANGANWADI KENDRAM,WOMEN & CHILD WELFARE,,I.C.D.S.PROJECT,EDUCATION,GOVERNMENT,"SANJEEVAYYA NAGAR, RAJAHMUNDRY.",,,0104000020E610000001000000010100000092828687A85D61418B7898774D5D3D41
6,00-00-03-02,19,HOMEOPATI DISPENSARY,HOSPITAL,MUNICIPAL CORPORATION OF RAJAHMUNDRY,HOMEOPATHI HOSPITAL,HEALTH,GOVERNMENT,"OPP. SANITARY INSPECTOR OFFICE, ALCOT GARDENS, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000305515143F5D6141D7C7873886483D41
7,00-00-03-10,19,H P PETROL BUNK,PETROL PUMP,,H P PETROL BUNK,FACILITY,PRIVATE,"BESIDE ANDHRA BANK, ALCOT GARDENS, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000ECD23EE54D5D61417C326E06A2483D41
8,00-00-03-42,19,SRI ISWARYA RESIDENCY,LODGE,,LODGE,HOSPITALITY,PRIVATE,"OPP. RAJAHMUNDRY RAILWAY STATION, ALCOT GARDENS, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000A77E4F47555D6141AB7838643E483D41
9,00-00-03-09,20,SRI RAMCHITS,OFFICE,ZONAL OFFICE,CHIT FUNDS OFFICE,,PRIVATE,"T NAGAR, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000724B2F31EE5C6141CDABCC213C4C3D41
10,00-00-03-10,46,INDIAN OIL PETROL BUNK,PETROL PUMP,,TEMPLE,FACILITY,PRIVATE,"RAMADASU PETA, RAJAHMUNDRY.",,,0104000020E61000000100000001010000006E939779C15D6141D9D0A447DA5F3D41
11,00-00-03-52-01,47,VEERA SATYA SAI MEDICAL SHOP,SHOP,,MEDICAL SHOP,HEALTH,PRIVATE,"SANJEEVAYYA NAGAR, RAJAHMUNDRY.",,,0104000020E610000001000000010100000029890655AB5D61412DEAC70D095D3D41
12,00-00-03-12,41,POSTOFFICE,OFFICE,,POST OFFICE,INFRASTRUCTURE,GOVERNMENT,"SRIRAMNAGAR, RAJAHMUNDRY.",,,0104000020E610000001000000010100000028AD1411F85C614123155C0DE6593D41
13,00-00-03-52-01,47,VEERA MAHALAKSHMI MEDICAL AND GENERAL STORES,SHOP,,MEDICAL SHOP,HEALTH,PRIVATE,"QUERRY MARKET JUNCTION, RAJAHMUNDRY.",0883-3203109,,0104000020E6100000010000000101000000FC550A14965D6141719BE501985D3D41
14,00-00-03-46,41,Dr B R AMBEDKAR PARK,PARK,,PARK,FACILITY,GOVERNMENT,"KOTILINGALAPETA, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000B4D316ECB55C6141B97C07F7A7593D41
15,00-00-03-51,44,RANINDRA VIDYA NIKATAN,SCHOOL,,SCHOOL,EDUCATION,PRIVATE,"P&T COLONY, RAJAHMUNDRY.",,,0104000020E61000000100000001010000000C027067905D6141F4E429C8855B3D41
16,00-00-03-51,44,DR KAMALA NATHANIAL MEMORIAL AIDED SCHOOL,SCHOOL,,SCHOOL,EDUCATION,AIDED,"MALLIKARJUNA NAGAR, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000962AFBF0B55D6141DF8F4473865A3D41
17,00-00-03-52-02,46,PRABHUTVA CHOWKA DHARALA DUKANAM,SHOP,,RATION SHOP,SHOP,PRIVATE,"VENKATAPURAM, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000FD47CDCF9D5D6141BE4E3EDC9A5F3D41
18,00-00-03-51,19,ALCOT THOTA ELEMENTRY SCHOOL,SCHOOL,,T M ELEMENTRY SCHOOL,EDUCATION,GOVERNMENT,"ALCOT GARDENS, RAJAHMUNDRY.",,,0104000020E6100000010000000101000000B977B851475D614194E14779DF483D41
19,00-00-02-05,47,SRI KANAKA DURGA TEMPLE,TEMPLE,,TEMPLE,RELIGIOUS,PRIVATE,"KORUKONDA ROAD, RAJAHMUNDRY.",,,0104000020E61000000100000001010000007C1958599B5D6141ADF75D9BC35D3D41
