College_Name,College_Code,Established_Year,Latitude,Longitude,Place,District,Type
CHALLA SATYANARAYANA DEGREE COLLEGE,301,2001,16.603137,81.778525,ACHANTA                      ,W.G.Dt,GOVT
H I S DEGREE COLLEGE,1,1999,17.477803,82.023325,ADDATEEGALA ,E.G.Dt,GOVT
SRI NARAHARISETTY VENKATA RAO COLLEGE,2,2011,,,AINAVILLI                                                   ,E.G.Dt,GOVT
V. V. GIRI KALASALA,323,1974,16.584252,81.328239,AKIVEEDU                        ,W.G.Dt,GOVT
SRI RAGHAVENDRA DEGREE COLLEGE,3,,,,ALAMURU   ,E.G.Dt,GOVT
GOVT. DEGREE COLLEGE,131,2014,,,ALAMURU   ,E.G.Dt,GOVT
SMT. BASAVA MANGAYAMMA MEMORIAL DEG. COLLEGE ,4,2001,,,AMALAPURAM   ,E.G.Dt,GOVT
SRI RAVI TEJA DEGREE COLLEGE ,126,2013,16.49761,81.883637,ALLAVARAM             ,E.G.Dt,GOVT
A S N COLLEGE FOR WOMEN,5,1992,16.565929,82.003042,AMALAPURAM   ,E.G.Dt,GOVT
MIRIAM COLLEGE ,6,1994,16.588375,82.006422,AMALAPURAM   ,E.G.Dt,Private
S K B R COLLEGE ,7,1951,16.56788,81.996324,AMALAPURAM   ,E.G.Dt,Private
SRI VENKATESWARA COLLEGE OF ARTS AND SCIENCE,8,2004,,,AMALAPURAM   ,E.G.Dt,Private
THE AMALAPURAM DEGREE COLLEGE ,9,2002,16.584053,82.01872,AMALAPURAM   ,E.G.Dt,Private
RANKIREDDY PATTABHI RAMAIAH DEGREE COLLEGE,10,2005,,,AMBAJIPETA,E.G.Dt,Private
S N M DEGREE COLLEGE,11,2005,,,AMBAJIPETA ,E.G.Dt,Private
G B R COLLEGE,12,1980,16.941759,81.95333,ANAPARTHI  ,E.G.Dt,Private
SRI SAI MADHAVI DEGREE COLLEGE ,13,2005,16.936555,81.954711,ANAPARTHI  ,E.G.Dt,Private
S. V. V. S. S. DEVASTANAM DEGREE COLLEGE ,15,1992,17.28963,82.416162,ANNAVARAM                     ,E.G.Dt,Private
MAHATMA GANDHI DEGREE COLLEGE ,16,1993,16.831568,81.78724,ATREYAPURAM             ,E.G.Dt,Private
S. V. S. S. ARTS & SCIENCE COLLEGE,302,1975,16.689062,81.587468,ATTILI                                ,W.G.Dt,Private
GEETANJALI DEGREE COLLEGE ,303,2012,16.823047,81.262302,BHIMADOLE ,W.G.Dt,Private
SRI KAKATIYA DEGREE COLLEGE,304,2003,16.81897,81.257909,BHIMADOLE ,W.G.Dt,Private
SRI VENKATESWARA DEGREE COLLEGE ,305,2007,16.822087,81.263082,BHIMADOLE ,W.G.Dt,Private
Dr C S N DEGREE AND P G COLLEGE ,306,1994,16.552972,81.547023,BHIMAVARAM ,W.G.Dt,Private
D.N.R. COLLEGE (AUTONOMOUS),307,1996,16.536451,81.518741,BHIMAVARAM ,W.G.Dt,Private
P V E S DEGREE COLLEGE FOR WOMEN ,310,1999,,,BHIMAVARAM ,W.G.Dt,Private
PADMASREE B V RAJU INSTITUTION OF COMPUTER EDUCATION ,311,2000,16.569477,81.525792,BHIMAVARAM ,W.G.Dt,Private
R.R.D.S. GOVT. DEGREE COLLEGE,312,1972,16.541581,81.511367,BHIMAVARAM ,W.G.Dt,Private
V S K DEGREE COLLEGE ,313,1990,16.529834,81.524059,BHIMAVARAM ,W.G.Dt,Private
KGRL DEGREE AND PG COLLEGE (AUTONOMOUS),308,1975,16.527547,81.525099,BHIMAVARAM ,W.G.Dt,Private
LUTHERN DEGREE AND P. G. COLLEGE ,309,1992,16.537553,81.523018,BHIMAVARAM ,W.G.Dt,Private
GOVT. DEGREE COLLEGE,316,2009,17.656199,81.02291,BUTTAIGUDEM,W.G.Dt,Private
ELISHA DEGREE COLLEGE ,350,2010,,, CHAGALLU             ,W.G.Dt,Private
RANGARAYA DEGREE COLLEGE ,403,2013,,, CHAGALLU               ,W.G.Dt,Private
GOVT. DEGREE COLLEGE,317,1987,17.044103,80.985035,CHINTALAPUDI     ,W.G.Dt,Private
SRI VIDYA DEGREE COLLEGE ,319,2001,17.07586,80.987983,CHINTALAPUDI     ,W.G.Dt,Private
LITTLE FLOWER DEGREE COLLEGE,318,2005,17.079222,80.989155,CHINTALAPUDI     ,W.G.Dt,Private
B H S R & V L M DEGREE COLLEGE ,320,1994,17.023662,81.545559,DEVARAPALLI  ,W.G.Dt,Private
ST. MARY'S NIRMALA HRUDAYA MAHILA COLLEGE ,,1999,17.030971,81.616584,DEVARAPALLI  ,W.G.Dt,Private
